menu_item_id,restaurant_id,item_name,price
R66569669_10,R66569669,Mochi,3.65
R66569669_11,R66569669,Katsu Curry,19.92
R66569669_12,R66569669,Onigiri,5.8
R66569669_13,R66569669,Yakisoba,10.84
R66569669_14,R66569669,Sukiyaki,15.16
R66569669_15,R66569669,Matcha Ice Cream,6.63
R71781659_1,R71781659,Spaghetti,12.4
R71781659_2,R71781659,Lasagna,23.18
R71781659_3,R71781659,Ravioli,20.49
R71781659_4,R71781659,Margherita Pizza,12.62
R71781659_5,R71781659,Fettuccine Alfredo,11.37
R71781659_6,R71781659,Bruschetta,10.5
R71781659_7,R71781659,Tiramisu,8.03
R71781659_8,R71781659,Risotto,16.25
R71781659_9,R71781659,Pesto Pasta,11.68
R71781659_10,R71781659,Carbonara,18.57
R71781659_11,R71781659,Caprese Salad,10.44
R71781659_12,R71781659,Gnocchi,10.92
R71781659_13,R71781659,Calzone,13.57
R71781659_14,R71781659,Minestrone Soup,9.05
R71781659_15,R71781659,Gelato,6.51
R43358094_1,R43358094,Gyro,9.43
R43358094_2,R43358094,Souvlaki,15.17
R43358094_3,R43358094,Moussaka,14.2
R43358094_4,R43358094,Spanakopita,9.91
R43358094_5,R43358094,Greek Salad,6.79
R43358094_6,R43358094,Baklava,5.12
R43358094_7,R43358094,Tzatziki,3.78
R43358094_8,R43358094,Dolmades,5.74
R43358094_9,R43358094,Saganaki,10.39
R43358094_10,R43358094,Lamb Kleftiko,13.74
R43358094_11,R43358094,Feta Cheese,7.75
R43358094_12,R43358094,Pastitsio,15.05
R43358094_13,R43358094,Loukoumades,7.55
R43358094_14,R43358094,Taramasalata,8.72
R43358094_15,R43358094,Galaktoboureko,4.63
R38512515_1,R38512515,Gyro,10.31
R38512515_2,R38512515,Souvlaki,15.03
R38512515_3,R38512515,Moussaka,12.21
R38512515_4,R38512515,Spanakopita,6.86
R38512515_5,R38512515,Greek Salad,7.86
R38512515_6,R38512515,Baklava,5.35
R38512515_7,R38512515,Tzatziki,5.62
R38512515_8,R38512515,Dolmades,6.63
R38512515_9,R38512515,Saganaki,12.54
R38512515_10,R38512515,Lamb Kleftiko,12.38
R38512515_11,R38512515,Feta Cheese,6.36
R38512515_12,R38512515,Pastitsio,9.56
R38512515_13,R38512515,Loukoumades,6.93
R38512515_14,R38512515,Taramasalata,5.38
R38512515_15,R38512515,Galaktoboureko,7.02
R88293228_1,R88293228,Paella,15.82
R88293228_2,R88293228,Tapas,13.29
R88293228_3,R88293228,Churros,4.29
R88293228_4,R88293228,Tortilla Espanola,8.71
R88293228_5,R88293228,Gazpacho,5.13
R88293228_6,R88293228,Patatas Bravas,10.77
R88293228_7,R88293228,Jamon Iberico,12.57
R88293228_8,R88293228,Pisto,12.17
R88293228_9,R88293228,Croquetas,9.37
R88293228_10,R88293228,Albondigas,11.48
R88293228_11,R88293228,Pulpo a la Gallega,16.1
R88293228_12,R88293228,Empanadas,6.46
R88293228_13,R88293228,Crema Catalana,4.69
R88293228_14,R88293228,Manchego Cheese,10.24
R88293228_15,R88293228,Pimientos de Padron,7.33
R13854557_1,R13854557,Spring Rolls,7.71
R13854557_2,R13854557,Kung Pao Chicken,14.05
R13854557_3,R13854557,Sweet and Sour Pork,11.56
R13854557_4,R13854557,Fried Rice,11.1
R13854557_5,R13854557,Dumplings,10.91
R13854557_6,R13854557,Hot and Sour Soup,6.62
R13854557_7,R13854557,Peking Duck,16.81
R13854557_8,R13854557,Chow Mein,9.21
R13854557_9,R13854557,General Tso's Chicken,18.34
R13854557_10,R13854557,Egg Drop Soup,6.46
R13854557_11,R13854557,Szechuan Beef,15.26
R13854557_12,R13854557,Lo Mein,12.44
R13854557_13,R13854557,Orange Chicken,12.07
R13854557_14,R13854557,Mapo Tofu,15.45
R13854557_15,R13854557,Moo Shu Pork,12.92
R78784398_1,R78784398,Spaghetti,16.75
R78784398_2,R78784398,Lasagna,18.13
R78784398_3,R78784398,Ravioli,19.44
R78784398_4,R78784398,Margherita Pizza,12.03
R78784398_5,R78784398,Fettuccine Alfredo,13.91
R78784398_6,R78784398,Bruschetta,8.26
R78784398_7,R78784398,Tiramisu,6.43
R78784398_8,R78784398,Risotto,19.46
R78784398_9,R78784398,Pesto Pasta,18.52
R78784398_10,R78784398,Carbonara,13.27
R78784398_11,R78784398,Caprese Salad,9.83
R78784398_12,R78784398,Gnocchi,10.69
R78784398_13,R78784398,Calzone,16.33
R78784398_14,R78784398,Minestrone Soup,7.74
R78784398_15,R78784398,Gelato,7.76
R24490202_1,R24490202,Spring Rolls,5.06
R24490202_2,R24490202,Kung Pao Chicken,12.66
R24490202_3,R24490202,Sweet and Sour Pork,14.72
R24490202_4,R24490202,Fried Rice,11.7
R24490202_5,R24490202,Dumplings,6.12
R24490202_6,R24490202,Hot and Sour Soup,9.28
R24490202_7,R24490202,Peking Duck,17.66
R24490202_8,R24490202,Chow Mein,9.04
R24490202_9,R24490202,General Tso's Chicken,10.27
R24490202_10,R24490202,Egg Drop Soup,7.29
R24490202_11,R24490202,Szechuan Beef,14.04
R24490202_12,R24490202,Lo Mein,10.01
R24490202_13,R24490202,Orange Chicken,14.01
R24490202_14,R24490202,Mapo Tofu,13.73
R24490202_15,R24490202,Moo Shu Pork,16.96
R70494831_1,R70494831,Paella,18.54
R70494831_2,R70494831,Tapas,15.26
R70494831_3,R70494831,Churros,5.47
R70494831_4,R70494831,Tortilla Espanola,7.65
R70494831_5,R70494831,Gazpacho,9.32
R70494831_6,R70494831,Patatas Bravas,10.55
R70494831_7,R70494831,Jamon Iberico,18.57
R70494831_8,R70494831,Pisto,12.48
R70494831_9,R70494831,Croquetas,9.56
R70494831_10,R70494831,Albondigas,12.09
R70494831_11,R70494831,Pulpo a la Gallega,18.4
R70494831_12,R70494831,Empanadas,5.51
R70494831_13,R70494831,Crema Catalana,6.23
R70494831_14,R70494831,Manchego Cheese,6.21
R70494831_15,R70494831,Pimientos de Padron,6.69
R35730470_1,R35730470,Sushi,21.5
R35730470_2,R35730470,Sashimi,14.36
R35730470_3,R35730470,Ramen,17.96
R35730470_4,R35730470,Tempura,13.71
R35730470_5,R35730470,Udon,14.69
R35730470_6,R35730470,Miso Soup,5.8
R35730470_7,R35730470,Teriyaki Chicken,18.02
R35730470_8,R35730470,Takoyaki,10.52
R35730470_9,R35730470,Gyoza,6.08
R35730470_10,R35730470,Mochi,5.56
R35730470_11,R35730470,Katsu Curry,17.13
R35730470_12,R35730470,Onigiri,4.64
R35730470_13,R35730470,Yakisoba,15.36
R35730470_14,R35730470,Sukiyaki,18.44
R35730470_15,R35730470,Matcha Ice Cream,6.68
R68642848_1,R68642848,Gyro,14.67
R68642848_2,R68642848,Souvlaki,12.96
R68642848_3,R68642848,Moussaka,17.61
R68642848_4,R68642848,Spanakopita,7.01
R68642848_5,R68642848,Greek Salad,6.22
R68642848_6,R68642848,Baklava,4.66
R68642848_7,R68642848,Tzatziki,4.98
R68642848_8,R68642848,Dolmades,6.78
R68642848_9,R68642848,Saganaki,12.61
R68642848_10,R68642848,Lamb Kleftiko,12.22
R68642848_11,R68642848,Feta Cheese,7.61
R68642848_12,R68642848,Pastitsio,11.87
R68642848_13,R68642848,Loukoumades,6.89
R68642848_14,R68642848,Taramasalata,9.16
R68642848_15,R68642848,Galaktoboureko,6.4
R58370120_1,R58370120,Butter Chicken,19.35
R58370120_2,R58370120,Tandoori Chicken,18.99
R58370120_3,R58370120,Paneer Tikka,13.39
R58370120_4,R58370120,Naan,3.57
R58370120_5,R58370120,Biryani,14.75
R58370120_6,R58370120,Samosas,3.57
R58370120_7,R58370120,Chole Bhature,11.86
R58370120_8,R58370120,Palak Paneer,9.57
R58370120_9,R58370120,Rogan Josh,19.35
R58370120_10,R58370120,Gulab Jamun,4.78
R58370120_11,R58370120,Dal Makhani,13.74
R58370120_12,R58370120,Masala Dosa,6.99
R58370120_13,R58370120,Aloo Gobi,8.23
R58370120_14,R58370120,Kheer,3.49
R58370120_15,R58370120,Lassi,3.46
R26412803_1,R26412803,Burger,15.48
R26412803_2,R26412803,BBQ Ribs,17.62
R26412803_3,R26412803,Fried Chicken,16.19
R26412803_4,R26412803,Hot Dogs,6.47
R26412803_5,R26412803,Apple Pie,5.94
R26412803_6,R26412803,Mac and Cheese,12.01
R26412803_7,R26412803,Buffalo Wings,10.66
R26412803_8,R26412803,Grilled Cheese,8.35
R26412803_9,R26412803,Pancakes,7.47
R26412803_10,R26412803,Clam Chowder,13.04
R26412803_11,R26412803,Philly Cheesesteak,15.14
R26412803_12,R26412803,Cornbread,4.63
R26412803_13,R26412803,Meatloaf,14.67
R26412803_14,R26412803,Chocolate Chip Cookies,2.87
R26412803_15,R26412803,Cheesecake,7.53
R28903240_1,R28903240,Butter Chicken,19.59
R28903240_2,R28903240,Tandoori Chicken,18.33
R28903240_3,R28903240,Paneer Tikka,17.48
R28903240_4,R28903240,Naan,4.63
R28903240_5,R28903240,Biryani,14.65
R28903240_6,R28903240,Samosas,5.8
R28903240_7,R28903240,Chole Bhature,11.94
R28903240_8,R28903240,Palak Paneer,9.35
R28903240_9,R28903240,Rogan Josh,20.2
R28903240_10,R28903240,Gulab Jamun,5.01
R28903240_11,R28903240,Dal Makhani,10.47
R28903240_12,R28903240,Masala Dosa,8.62
R28903240_13,R28903240,Aloo Gobi,7.72
R28903240_14,R28903240,Kheer,4.71
R28903240_15,R28903240,Lassi,3.78
R69522282_1,R69522282,Tacos,7.65
R69522282_2,R69522282,Burritos,10.44
R69522282_3,R69522282,Enchiladas,13.27
R69522282_4,R69522282,Quesadillas,9.42
R69522282_5,R69522282,Nachos,7.91
R69522282_6,R69522282,Fajitas,13.64
R69522282_7,R69522282,Guacamole,4.96
R69522282_8,R69522282,Churros,6.22
R69522282_9,R69522282,Tamales,8.11
R69522282_10,R69522282,Tortilla Soup,8.02
R69522282_11,R69522282,Carnitas,12.22
R69522282_12,R69522282,Chimichangas,11.85
R69522282_13,R69522282,Huevos Rancheros,9.03
R69522282_14,R69522282,Salsa,5.04
R69522282_15,R69522282,Pozole,11.09
R46051867_1,R46051867,Gyro,14.52
R46051867_2,R46051867,Souvlaki,16.29
R46051867_3,R46051867,Moussaka,11.55
R46051867_4,R46051867,Spanakopita,9.51
R46051867_5,R46051867,Greek Salad,9.32
R46051867_6,R46051867,Baklava,5.89
R46051867_7,R46051867,Tzatziki,5.67
R46051867_8,R46051867,Dolmades,7.22
R46051867_9,R46051867,Saganaki,8.47
R46051867_10,R46051867,Lamb Kleftiko,15.23
R46051867_11,R46051867,Feta Cheese,4.8
R46051867_12,R46051867,Pastitsio,13.15
R46051867_13,R46051867,Loukoumades,6.99
R46051867_14,R46051867,Taramasalata,7.52
R46051867_15,R46051867,Galaktoboureko,5.28
R86351124_1,R86351124,Paella,13.08
R86351124_2,R86351124,Tapas,10.28
R86351124_3,R86351124,Churros,3.43
R86351124_4,R86351124,Tortilla Espanola,10.6
R86351124_5,R86351124,Gazpacho,6.52
R86351124_6,R86351124,Patatas Bravas,9.62
R86351124_7,R86351124,Jamon Iberico,12.58
R86351124_8,R86351124,Pisto,12.06
R86351124_9,R86351124,Croquetas,9.44
R86351124_10,R86351124,Albondigas,7.17
R86351124_11,R86351124,Pulpo a la Gallega,20.43
R86351124_12,R86351124,Empanadas,7.41
R86351124_13,R86351124,Crema Catalana,7.52
R86351124_14,R86351124,Manchego Cheese,9.22
R86351124_15,R86351124,Pimientos de Padron,9.29
R94029692_1,R94029692,Paella,18.11
R94029692_2,R94029692,Tapas,13.92
R94029692_3,R94029692,Churros,5.96
R94029692_4,R94029692,Tortilla Espanola,9.23
R94029692_5,R94029692,Gazpacho,6.47
R94029692_6,R94029692,Patatas Bravas,7.81
R94029692_7,R94029692,Jamon Iberico,12.28
R94029692_8,R94029692,Pisto,12.73
R94029692_9,R94029692,Croquetas,7.58
R94029692_10,R94029692,Albondigas,7.76
R94029692_11,R94029692,Pulpo a la Gallega,16.12
R94029692_12,R94029692,Empanadas,6.05
R94029692_13,R94029692,Crema Catalana,6.85
R94029692_14,R94029692,Manchego Cheese,10.44
R94029692_15,R94029692,Pimientos de Padron,8.21
R83220806_1,R83220806,Paella,13.93
R83220806_2,R83220806,Tapas,9.56
R83220806_3,R83220806,Churros,6.12
R83220806_4,R83220806,Tortilla Espanola,10.08
R83220806_5,R83220806,Gazpacho,9.32
R83220806_6,R83220806,Patatas Bravas,7.61
R83220806_7,R83220806,Jamon Iberico,13.03
R83220806_8,R83220806,Pisto,11.72
R83220806_9,R83220806,Croquetas,8.0
R83220806_10,R83220806,Albondigas,12.32
R83220806_11,R83220806,Pulpo a la Gallega,15.42
R83220806_12,R83220806,Empanadas,7.54
R83220806_13,R83220806,Crema Catalana,6.65
R83220806_14,R83220806,Manchego Cheese,9.11
R83220806_15,R83220806,Pimientos de Padron,6.7
R14073252_1,R14073252,Tacos,9.0
R14073252_2,R14073252,Burritos,9.22
R14073252_3,R14073252,Enchiladas,8.62
R14073252_4,R14073252,Quesadillas,9.05
R14073252_5,R14073252,Nachos,8.09
R14073252_6,R14073252,Fajitas,11.68
R14073252_7,R14073252,Guacamole,5.66
R14073252_8,R14073252,Churros,4.53
R14073252_9,R14073252,Tamales,8.44
R14073252_10,R14073252,Tortilla Soup,6.51
R14073252_11,R14073252,Carnitas,10.99
R14073252_12,R14073252,Chimichangas,13.44
R14073252_13,R14073252,Huevos Rancheros,12.43
R14073252_14,R14073252,Salsa,4.25
R14073252_15,R14073252,Pozole,10.43
R45010701_1,R45010701,Tacos,9.44
R45010701_2,R45010701,Burritos,12.96
R45010701_3,R45010701,Enchiladas,9.16
R45010701_4,R45010701,Quesadillas,7.92
R45010701_5,R45010701,Nachos,6.43
R45010701_6,R45010701,Fajitas,17.8
R45010701_7,R45010701,Guacamole,4.86
R45010701_8,R45010701,Churros,4.88
R45010701_9,R45010701,Tamales,8.41
R45010701_10,R45010701,Tortilla Soup,7.37
R45010701_11,R45010701,Carnitas,13.25
R45010701_12,R45010701,Chimichangas,12.38
R45010701_13,R45010701,Huevos Rancheros,11.68
R45010701_14,R45010701,Salsa,5.39
R45010701_15,R45010701,Pozole,11.59
R34473180_1,R34473180,Butter Chicken,17.57
R34473180_2,R34473180,Tandoori Chicken,13.6
R34473180_3,R34473180,Paneer Tikka,11.26
R34473180_4,R34473180,Naan,3.02
R34473180_5,R34473180,Biryani,11.34
R34473180_6,R34473180,Samosas,4.09
R34473180_7,R34473180,Chole Bhature,12.65
R34473180_8,R34473180,Palak Paneer,14.42
R34473180_9,R34473180,Rogan Josh,19.22
R34473180_10,R34473180,Gulab Jamun,7.58
R34473180_11,R34473180,Dal Makhani,10.03
R34473180_12,R34473180,Masala Dosa,9.09
R34473180_13,R34473180,Aloo Gobi,9.96
R34473180_14,R34473180,Kheer,4.86
R34473180_15,R34473180,Lassi,3.3
R71729692_1,R71729692,Butter Chicken,16.8
R71729692_2,R71729692,Tandoori Chicken,19.97
R71729692_3,R71729692,Paneer Tikka,16.78
R71729692_4,R71729692,Naan,3.46
R71729692_5,R71729692,Biryani,15.16
R71729692_6,R71729692,Samosas,3.62
R71729692_7,R71729692,Chole Bhature,10.06
R71729692_8,R71729692,Palak Paneer,13.99
R71729692_9,R71729692,Rogan Josh,19.4
R71729692_10,R71729692,Gulab Jamun,4.37
R71729692_11,R71729692,Dal Makhani,12.16
R71729692_12,R71729692,Masala Dosa,11.64
R71729692_13,R71729692,Aloo Gobi,9.55
R71729692_14,R71729692,Kheer,5.37
R71729692_15,R71729692,Lassi,3.29
R70527499_1,R70527499,Burger,10.48
R70527499_2,R70527499,BBQ Ribs,21.55
R70527499_3,R70527499,Fried Chicken,18.53
R70527499_4,R70527499,Hot Dogs,7.65
R70527499_5,R70527499,Apple Pie,4.51
R70527499_6,R70527499,Mac and Cheese,7.61
R70527499_7,R70527499,Buffalo Wings,9.15
R70527499_8,R70527499,Grilled Cheese,6.84
R70527499_9,R70527499,Pancakes,6.2
R70527499_10,R70527499,Clam Chowder,12.02
R70527499_11,R70527499,Philly Cheesesteak,13.74
R70527499_12,R70527499,Cornbread,3.65
R70527499_13,R70527499,Meatloaf,11.83
R70527499_14,R70527499,Chocolate Chip Cookies,2.86
R70527499_15,R70527499,Cheesecake,5.12
R64284712_1,R64284712,Pad Thai,10.96
R64284712_2,R64284712,Green Curry,11.72
R64284712_3,R64284712,Tom Yum Soup,6.04
R64284712_4,R64284712,Massaman Curry,17.32
R64284712_5,R64284712,Satay,10.45
R64284712_6,R64284712,Som Tum,13.48
R64284712_7,R64284712,Pad See Ew,15.05
R64284712_8,R64284712,Mango Sticky Rice,7.48
R64284712_9,R64284712,Red Curry,11.25
R64284712_10,R64284712,Panang Curry,13.46
R64284712_11,R64284712,Thai Fried Rice,13.94
R64284712_12,R64284712,Larb,11.73
R64284712_13,R64284712,Tom Kha Gai,6.97
R64284712_14,R64284712,Spring Rolls,7.14
R64284712_15,R64284712,Fish Cakes,8.38
R38410673_1,R38410673,Sushi,12.88
R38410673_2,R38410673,Sashimi,18.84
R38410673_3,R38410673,Ramen,16.31
